Location Name,Impressions
Alabama,17
Alaska,0
Alberta,6
Arizona,14
Arkansas,9
British Columbia,11
California,54
Canada,0
Colorado,5
Connecticut,3
Delaware,0
Florida,67
Georgia,28
Hawaii,2
Idaho,1
Illinois,28
Indiana,16
Iowa,4
Kansas,5
Kentucky,9
Lac-Huron,0
Louisiana,14
Maine,1
Manitoba,5
Maryland,11
Massachusetts,12
Michigan,20
Minnesota,10
Mississippi,11
Missouri,18
Montana,1
Nebraska,8
Nevada,2
New Brunswick,0
New Hampshire,1
New Jersey,6
New Mexico,2
New York,44
Newfoundland and Labrador,1
North Carolina,39
North Dakota,0
Northwest Territories,0
Nova Scotia,0
Nunavut,0
Ohio,29
Oklahoma,3
Ontario,28
Oregon,6
Pennsylvania,17
Prince Edward Island,0
Quebec,22
Rhode Island,0
Saskatchewan,4
South Carolina,9
South Dakota,2
Tennessee,11
Texas,83
United States,0
Utah,6
Vermont,0
Virginia,23
Washington,5
West Virginia,1
Wisconsin,6
Wyoming,0
Yukon,0
