Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
NIL lawsuit,Broad match,Enabled,Enabled,Enabled,$2.83,3,42.86%
NIL,Phrase match,Enabled,Enabled,Enabled,$0.98,1,1.96%
NIL Settlement,Broad match,Enabled,Enabled,Enabled,$0.97,1,2.63%
Sell NCAA claim,Broad match,Enabled,Enabled,Enabled,$0.97,1,100.00%
NCAA settlement,Broad match,Enabled,Enabled,Enabled,$0.92,1,6.25%
NIL lawyer,Broad match,Enabled,Enabled,Enabled,$0.83,1,20.00%
Verita,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa lawsuit,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA lawsuit,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa class action lawsuit,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa class action settlement,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
college athlete compensation,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa settlement,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa class action,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
house ncaa,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
class action lawsuit against ncaa,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA class action lawsuit,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA eligibility center,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
nil compensation,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
UCLA NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
basketball NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
football NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa class action lawsuit 2020,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Alabama NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Texas NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
USC NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Ole Miss NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Texas Tech NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
TCU NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Baylor NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
LSU NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Penn State NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Ohio State NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Michigan NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Virginia Tech NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
ncaa nil settlement,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
nil claims,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Miami NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Tennessee NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
UT NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NIL agent,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA class action,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Florida State NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA claims,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA class action settlement,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA settlement claim,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
NCAA Creditor,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Claims Market NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
nil settlement payout date,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Washington State NIL,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
